City,State,Latitude,Longitude,Datetime,Year,Month,Day,Hour,Day_of_Week,Day_Name,Week_of_Year,Is_Weekend,Quarter,Season,Time_of_Day,Temp_2m_C,Temp_80m_C,Temp_120m_C,Temp_180m_C,Humidity_Percent,Dew_Point_C,Humidity_Category,Wind_Speed_10m_kmh,Wind_Speed_80m_kmh,Wind_Speed_120m_kmh,Wind_Dir_10m,Wind_Gusts_kmh,Wind_Category,Wind_Stagnation,Precipitation_mm,Rain_mm,Is_Raining,Heavy_Rain,Pressure_MSL_hPa,Surface_Pressure_hPa,Solar_Radiation_Wm2,Direct_Radiation_Wm2,Diffuse_Radiation_Wm2,UV_Index,Cloud_Cover_Percent,Cloud_Low_Percent,Cloud_Mid_Percent,Cloud_High_Percent,Is_Daytime,Sunshine_Seconds,PM2_5_ugm3,PM10_ugm3,PM_Ratio,CO_ugm3,NO2_ugm3,SO2_ugm3,O3_ugm3,Dust_ugm3,NH3_ugm3,AOD,US_AQI,US_AQI_PM25,US_AQI_PM10,US_AQI_NO2,US_AQI_O3,US_AQI_CO,EU_AQI,EU_AQI_PM25,EU_AQI_PM10,AQI_Category,PM25_Category_India,Temp_Inversion,Inversion_Strength_C,Festival_Period,Crop_Burning_Season
Agartala,Tripura,23.8315,91.2868,2022-08-05 18:00:00,2022,8,5,18,4,Friday,31,0,3,Monsoon,Evening,28.2,,,,88,26.0,Very_Humid,5.6,,,140,12.6,Moderate,0,0.3,0.3,1,0,1000.3,998.9,10.0,0.0,10.0,,100,1,10,100,0,0.0,13.4,19.3,0.694300518134715,204.0,40.2,1.2,25.0,0.0,,0.22,56.0,56.0,19.0,20.0,32.0,2,29.0,29.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 19:00:00,2022,8,5,19,4,Friday,31,0,3,Monsoon,Evening,28.0,,,,87,25.7,Very_Humid,8.3,,,162,14.0,Moderate,0,0.0,0.0,0,0,1001.0,999.6,0.0,0.0,0.0,,100,16,13,100,0,0.0,12.7,18.4,0.6902173913043479,216.0,40.0,1.2,21.0,0.0,,0.22,55.0,55.0,19.0,20.0,29.0,2,29.0,29.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 20:00:00,2022,8,5,20,4,Friday,31,0,3,Monsoon,Evening,27.9,,,,85,25.2,Humid,9.7,,,158,16.2,Moderate,0,0.0,0.0,0,0,1001.9,1000.5,0.0,0.0,0.0,,100,30,49,100,0,0.0,12.6,18.4,0.6847826086956522,226.0,38.3,1.2,17.0,0.0,,0.21,55.0,55.0,19.0,19.0,25.0,2,29.0,29.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 21:00:00,2022,8,5,21,4,Friday,31,0,3,Monsoon,Night_Late,27.7,,,,88,25.4,Very_Humid,10.6,,,156,19.8,Fresh,0,0.0,0.0,0,0,1002.4,1001.0,0.0,0.0,0.0,,100,24,43,100,0,0.0,11.8,17.3,0.6820809248554913,221.0,35.5,1.1,18.0,0.0,,0.23,55.0,55.0,19.0,17.0,21.0,2,28.0,28.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 22:00:00,2022,8,5,22,4,Friday,31,0,3,Monsoon,Night_Late,27.5,,,,91,25.9,Very_Humid,10.5,,,172,18.4,Fresh,0,0.1,0.1,1,0,1002.4,1001.0,0.0,0.0,0.0,,100,33,30,100,0,0.0,12.1,17.6,0.6874999999999999,211.0,31.6,1.0,21.0,0.0,,0.21,55.0,55.0,19.0,16.0,18.0,2,28.0,28.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 23:00:00,2022,8,5,23,4,Friday,31,0,3,Monsoon,Night_Late,27.0,,,,93,25.7,Very_Humid,8.7,,,163,20.2,Moderate,0,0.1,0.1,1,0,1002.1,1000.7,0.0,0.0,0.0,,100,12,25,100,0,0.0,12.2,17.8,0.6853932584269662,198.0,26.5,0.9,25.0,0.0,,0.19,55.0,55.0,19.0,13.0,14.0,2,28.0,28.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 00:00:00,2022,8,6,0,5,Saturday,31,1,3,Monsoon,Night,26.6,,,,93,25.4,Very_Humid,8.4,,,133,15.1,Moderate,0,0.2,0.2,1,0,1001.8,1000.4,0.0,0.0,0.0,,100,41,51,100,0,0.0,12.7,18.5,0.6864864864864865,193.0,22.6,0.9,28.0,0.0,,0.19,54.0,54.0,19.0,11.0,12.0,2,28.0,28.0,20.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 01:00:00,2022,8,6,1,5,Saturday,31,1,3,Monsoon,Night,26.0,,,,96,25.2,Very_Humid,7.3,,,123,17.6,Moderate,0,0.8,0.8,1,0,1001.5,1000.1,0.0,0.0,0.0,,100,0,47,100,0,0.0,13.3,19.3,0.689119170984456,189.0,18.8,1.0,30.0,0.0,,0.19,54.0,54.0,19.0,9.0,11.0,2,28.0,28.0,20.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 02:00:00,2022,8,6,2,5,Saturday,31,1,3,Monsoon,Night,25.9,,,,96,25.2,Very_Humid,8.4,,,137,15.5,Moderate,0,0.3,0.3,1,0,1000.7,999.3,0.0,0.0,0.0,,100,0,1,100,0,0.0,13.7,19.7,0.6954314720812182,186.0,15.1,1.1,32.0,0.0,,0.2,54.0,54.0,18.0,7.0,11.0,2,28.0,28.0,20.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 03:00:00,2022,8,6,3,5,Saturday,31,1,3,Monsoon,Night,25.8,,,,96,25.1,Very_Humid,6.9,,,96,15.1,Moderate,0,1.0,1.0,1,0,1000.6,999.2,0.0,0.0,0.0,,100,37,29,100,0,0.0,13.8,19.8,0.696969696969697,186.0,14.3,1.1,31.0,0.0,,0.19,54.0,54.0,18.0,7.0,11.0,2,28.0,28.0,20.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 04:00:00,2022,8,6,4,5,Saturday,31,1,3,Monsoon,Night,25.7,,,,97,25.1,Very_Humid,4.5,,,61,13.3,Light,0,1.3,1.3,1,0,1000.8,999.4,0.0,0.0,0.0,,100,7,48,100,0,0.0,14.0,20.1,0.6965174129353233,187.0,14.7,1.0,28.0,0.0,,0.17,53.0,53.0,18.0,7.0,12.0,2,27.0,27.0,20.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 05:00:00,2022,8,6,5,5,Saturday,31,1,3,Monsoon,Night,25.7,,,,96,24.9,Very_Humid,7.2,,,87,15.8,Moderate,0,3.7,3.7,1,0,1001.6,1000.2,4.0,0.0,4.0,,100,9,94,100,1,0.0,9.8,14.1,0.6950354609929079,157.0,11.7,0.7,33.0,0.0,,0.16,53.0,53.0,18.0,6.0,12.0,2,27.0,27.0,20.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 06:00:00,2022,8,6,6,5,Saturday,31,1,3,Monsoon,Early_Morning,26.4,,,,93,25.3,Very_Humid,5.2,,,102,14.0,Moderate,0,0.6,0.6,1,0,1002.0,1000.6,74.0,8.0,66.0,,100,11,87,99,1,0.0,9.4,13.5,0.6962962962962963,161.0,15.1,0.8,30.0,0.0,,0.15,52.0,52.0,17.0,7.0,13.0,2,26.0,26.0,19.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 07:00:00,2022,8,6,7,5,Saturday,31,1,3,Monsoon,Early_Morning,27.4,,,,91,25.7,Very_Humid,5.1,,,82,13.7,Moderate,0,0.4,0.4,1,0,1002.4,1001.0,199.0,45.0,154.0,,100,24,97,100,1,1210.05,8.8,12.7,0.6929133858267718,167.0,19.9,0.8,25.0,0.0,,0.14,52.0,52.0,17.0,10.0,14.0,2,26.0,26.0,19.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 08:00:00,2022,8,6,8,5,Saturday,31,1,3,Monsoon,Early_Morning,27.9,,,,87,25.6,Very_Humid,7.3,,,79,15.8,Moderate,0,0.2,0.2,1,0,1002.7,1001.3,189.0,13.0,176.0,,100,14,99,100,1,0.0,7.5,10.7,0.7009345794392524,173.0,24.0,0.9,22.0,0.0,,0.12,51.0,51.0,17.0,12.0,14.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 09:00:00,2022,8,6,9,5,Saturday,31,1,3,Monsoon,Morning,28.2,,,,86,25.7,Very_Humid,6.1,,,87,18.0,Moderate,0,0.1,0.1,1,0,1002.3,1000.9,262.0,18.0,244.0,,100,11,99,100,1,0.0,9.5,13.6,0.698529411764706,174.0,23.0,1.0,24.0,0.0,,0.11,51.0,51.0,17.0,11.0,13.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 10:00:00,2022,8,6,10,5,Saturday,31,1,3,Monsoon,Morning,29.1,,,,81,25.5,Humid,5.0,,,69,16.6,Light,0,0.1,0.1,1,0,1001.9,1000.5,399.0,118.0,281.0,,100,19,67,100,1,2038.19,11.5,16.5,0.696969696969697,172.0,20.1,1.1,28.0,0.0,,0.12,51.0,51.0,16.0,10.0,13.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 11:00:00,2022,8,6,11,5,Saturday,31,1,3,Monsoon,Morning,30.2,,,,76,25.5,Humid,4.7,,,58,16.2,Light,0,0.1,0.1,1,0,1000.7,999.3,639.0,287.0,352.0,,100,23,34,100,1,3600.0,13.0,18.7,0.6951871657754011,169.0,16.6,1.2,36.0,0.0,,0.13,51.0,51.0,16.0,8.0,13.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 12:00:00,2022,8,6,12,5,Saturday,31,1,3,Monsoon,Morning,31.6,,,,73,26.2,Humid,3.8,,,73,17.3,Light,0,0.1,0.1,1,0,999.1,997.8,898.0,698.0,200.0,,89,19,2,86,1,3600.0,13.9,19.8,0.702020202020202,164.0,14.4,1.4,44.0,0.0,,0.14,51.0,51.0,16.0,7.0,13.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 13:00:00,2022,8,6,13,5,Saturday,31,1,3,Monsoon,Afternoon,32.3,,,,70,26.0,Comfortable,2.4,,,117,15.8,Light,0,0.1,0.1,1,0,997.9,996.6,818.0,629.0,189.0,,97,47,8,95,1,3600.0,12.8,18.4,0.6956521739130436,158.0,12.4,1.5,54.0,0.0,,0.15,51.0,51.0,16.0,6.0,14.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 14:00:00,2022,8,6,14,5,Saturday,31,1,3,Monsoon,Afternoon,32.3,,,,69,25.8,Comfortable,5.9,,,142,16.9,Moderate,0,0.1,0.1,1,0,997.2,995.9,654.0,462.0,192.0,,100,10,17,99,1,3600.0,11.9,17.1,0.695906432748538,155.0,13.5,1.6,60.0,0.0,,0.16,50.0,50.0,16.0,7.0,15.0,2,24.0,24.0,18.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 15:00:00,2022,8,6,15,5,Saturday,31,1,3,Monsoon,Afternoon,31.8,,,,69,25.4,Comfortable,8.0,,,170,19.8,Moderate,0,0.1,0.1,1,0,996.8,995.5,452.0,255.0,197.0,,100,10,12,100,1,3600.0,11.3,16.3,0.6932515337423313,160.0,20.1,1.5,54.0,0.0,,0.17,50.0,50.0,16.0,10.0,17.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 16:00:00,2022,8,6,16,5,Saturday,31,1,3,Monsoon,Afternoon,30.8,,,,72,25.1,Humid,4.0,,,185,19.8,Light,0,1.5,1.5,1,0,996.9,995.6,242.0,71.0,171.0,,100,11,33,100,1,2911.42,11.1,16.0,0.69375,169.0,29.9,1.2,41.0,0.0,,0.17,50.0,50.0,16.0,15.0,19.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 17:00:00,2022,8,6,17,5,Saturday,31,1,3,Monsoon,Afternoon,29.3,,,,82,26.0,Humid,5.7,,,198,15.1,Moderate,0,0.0,0.0,0,0,998.1,996.7,72.0,9.0,63.0,,100,22,33,63,1,0.0,15.7,22.6,0.6946902654867256,180.0,38.9,1.2,51.0,0.0,,0.21,50.0,50.0,16.0,19.0,20.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 18:00:00,2022,8,6,18,5,Saturday,31,1,3,Monsoon,Evening,28.3,,,,89,26.2,Very_Humid,3.4,,,148,11.9,Light,0,0.1,0.1,1,0,998.4,997.0,9.0,1.0,8.0,,86,19,25,80,0,0.0,19.3,27.7,0.6967509025270758,191.0,40.0,1.1,44.0,0.0,,0.22,50.0,50.0,16.0,20.0,21.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 19:00:00,2022,8,6,19,5,Saturday,31,1,3,Monsoon,Evening,28.1,,,,88,26.0,Very_Humid,3.3,,,103,5.8,Light,0,0.0,0.0,0,0,999.4,998.0,0.0,0.0,0.0,,92,3,24,89,0,0.0,14.3,20.5,0.6975609756097562,206.0,41.3,1.0,33.0,0.0,,0.21,51.0,51.0,16.0,20.0,22.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 20:00:00,2022,8,6,20,5,Saturday,31,1,3,Monsoon,Evening,27.6,,,,89,25.7,Very_Humid,4.0,,,117,7.2,Light,0,0.0,0.0,0,0,1000.5,999.1,0.0,0.0,0.0,,76,13,27,63,0,0.0,12.0,17.2,0.6976744186046512,217.0,40.6,0.9,24.0,0.0,,0.18,51.0,51.0,16.0,20.0,22.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 21:00:00,2022,8,6,21,5,Saturday,31,1,3,Monsoon,Night_Late,27.7,,,,89,25.7,Very_Humid,5.6,,,153,9.4,Moderate,0,0.0,0.0,0,0,1001.0,999.6,0.0,0.0,0.0,,88,12,10,85,0,0.0,11.5,16.6,0.6927710843373494,211.0,36.1,0.8,25.0,0.0,,0.18,51.0,51.0,16.0,18.0,21.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 22:00:00,2022,8,6,22,5,Saturday,31,1,3,Monsoon,Night_Late,27.3,,,,91,25.8,Very_Humid,5.4,,,180,11.2,Moderate,0,0.0,0.0,0,0,1000.9,999.5,0.0,0.0,0.0,,53,2,12,45,0,0.0,10.4,15.0,0.6933333333333334,198.0,29.5,0.9,29.0,0.0,,0.17,51.0,51.0,16.0,15.0,19.0,2,25.0,25.0,18.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-06 23:00:00,2022,8,6,23,5,Saturday,31,1,3,Monsoon,Night_Late,26.6,,,,95,25.7,Very_Humid,5.0,,,180,9.4,Light,0,0.0,0.0,0,0,1001.0,999.6,0.0,0.0,0.0,,32,4,17,15,0,0.0,9.8,14.1,0.6950354609929079,183.0,21.8,0.9,34.0,0.0,,0.13,50.0,50.0,16.0,11.0,17.0,2,24.0,24.0,18.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-07 00:00:00,2022,8,7,0,6,Sunday,31,1,3,Monsoon,Night,26.6,,,,95,25.7,Very_Humid,4.6,,,135,7.2,Light,0,0.0,0.0,0,0,1000.6,999.2,0.0,0.0,0.0,,46,7,3,41,0,0.0,10.5,15.0,0.7,178.0,18.6,0.9,34.0,0.0,,0.12,50.0,50.0,16.0,9.0,16.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-07 01:00:00,2022,8,7,1,6,Sunday,31,1,3,Monsoon,Night,26.3,,,,95,25.5,Very_Humid,3.6,,,90,5.4,Light,0,0.0,0.0,0,0,1000.2,998.8,0.0,0.0,0.0,,86,5,7,84,0,0.0,10.9,15.6,0.6987179487179488,175.0,16.6,0.8,33.0,0.0,,0.11,50.0,50.0,16.0,8.0,16.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-07 02:00:00,2022,8,7,2,6,Sunday,31,1,3,Monsoon,Night,26.1,,,,97,25.5,Very_Humid,2.8,,,50,4.7,Light,0,0.0,0.0,0,0,1000.0,998.6,0.0,0.0,0.0,,91,6,7,90,0,0.0,11.4,16.4,0.6951219512195123,172.0,14.6,0.8,31.0,0.0,,0.11,50.0,50.0,16.0,7.0,15.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-07 03:00:00,2022,8,7,3,6,Sunday,31,1,3,Monsoon,Night,26.2,,,,97,25.7,Very_Humid,5.6,,,50,8.6,Moderate,0,0.0,0.0,0,0,999.9,998.5,0.0,0.0,0.0,,74,9,8,69,0,0.0,11.9,17.1,0.695906432748538,168.0,13.4,0.8,30.0,0.0,,0.11,49.0,49.0,15.0,7.0,14.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-07 04:00:00,2022,8,7,4,6,Sunday,31,1,3,Monsoon,Night,26.2,,,,97,25.7,Very_Humid,5.8,,,68,10.4,Moderate,0,0.0,0.0,0,0,999.8,998.4,0.0,0.0,0.0,,36,0,0,36,0,0.0,11.2,16.1,0.6956521739130433,163.0,12.6,0.8,29.0,0.0,,0.11,49.0,49.0,15.0,6.0,14.0,2,24.0,24.0,17.0,Good,Good,0,,0,0
